speed_knots,dwell_hours,expected_dwell_hours,delay_hours,weather_score,port_congestion,route_segment,cargo_type,is_delayed,is_anomaly,risk_level
10.66,0.63,6.0,5.58,0.125,0.432,South China Sea,General,1,0,0
12.29,0.03,4.0,13.96,0.944,0.383,Strait of Malacca,General,1,0,1
13.51,1.87,2.0,4.8,0.066,0.221,Atlantic,Chemicals,1,0,0
10.83,11.26,8.0,3.38,0.114,0.243,English Channel,Perishables,0,0,0
10.87,6.5,2.0,0.36,0.307,0.696,Pacific,General,0,0,0
16.16,4.02,8.0,1.19,0.057,0.302,Atlantic,Electronics,0,0,0
14.72,5.37,6.0,4.52,0.598,0.392,Suez Canal,Automotive,1,0,0
11.1,1.42,2.0,2.01,0.517,0.184,Suez Canal,General,0,0,0
12.41,8.59,4.0,0.0,0.076,0.403,Arabian Sea,General,0,0,0
11.39,3.24,6.0,2.43,0.083,0.35,Yellow Sea,Electronics,0,0,0
11.46,4.13,6.0,1.34,0.468,0.631,Suez Canal,Electronics,0,0,0
14.9,8.6,6.0,0.77,0.104,0.581,Arabian Sea,General,0,0,0
14.23,5.36,6.0,5.52,0.235,0.173,Arabian Sea,Automotive,1,0,0
11.26,10.63,8.0,6.33,0.88,0.203,Suez Canal,Chemicals,1,0,0
14.46,4.15,8.0,1.19,0.302,0.554,Cape of Good Hope,General,0,0,0
10.72,9.96,8.0,0.92,0.041,0.109,Yellow Sea,Electronics,0,0,0
19.69,13.36,6.0,0.05,0.213,0.413,South China Sea,Automotive,0,0,0
11.43,22.57,8.0,0.76,0.467,0.149,Suez Canal,Electronics,0,0,0
17.29,5.06,6.0,0.7,0.553,0.073,Strait of Malacca,Electronics,0,0,0
17.16,1.78,6.0,2.9,0.34,0.332,South China Sea,Perishables,0,0,0
12.77,3.13,4.0,2.94,0.103,0.372,Cape of Good Hope,Electronics,0,0,0
13.0,1.22,2.0,0.58,0.381,0.172,Mediterranean,General,0,0,0
8.03,7.23,4.0,0.66,0.396,0.117,Indian Ocean,Automotive,0,0,0
15.21,5.24,4.0,1.25,0.026,0.238,Yellow Sea,Automotive,0,0,0
15.8,11.92,4.0,7.49,0.471,0.675,Red Sea,Perishables,1,0,0
15.03,6.85,8.0,1.08,0.819,0.341,Strait of Malacca,Electronics,0,0,0
14.84,2.13,2.0,1.56,0.749,0.588,Strait of Malacca,Automotive,0,0,0
17.98,1.56,8.0,0.22,0.537,0.057,Yellow Sea,Electronics,0,0,0
12.68,2.75,4.0,1.36,0.517,0.336,Suez Canal,Electronics,0,0,0
10.98,1.44,6.0,6.93,0.473,0.271,Red Sea,Automotive,1,0,0
19.03,3.85,4.0,11.22,0.025,0.227,Atlantic,Perishables,1,0,0
14.7,6.7,4.0,1.36,0.545,0.172,Yellow Sea,Electronics,0,0,0
13.52,6.78,8.0,0.22,0.211,0.406,Yellow Sea,Perishables,0,0,0
9.74,6.48,4.0,0.49,0.552,0.525,Suez Canal,Automotive,0,0,0
11.31,0.28,6.0,0.16,0.485,0.368,Suez Canal,Automotive,0,0,0
12.42,4.83,8.0,5.03,0.013,0.071,Atlantic,General,1,0,0
15.95,0.28,6.0,4.8,0.004,0.378,Indian Ocean,Perishables,1,0,0
18.06,0.15,4.0,0.95,0.032,0.381,Yellow Sea,Electronics,0,0,0
15.8,1.16,4.0,7.8,0.611,0.304,Red Sea,Electronics,1,0,0
12.31,8.44,6.0,1.78,0.081,0.227,Mediterranean,Automotive,0,0,0
14.75,1.44,2.0,5.22,0.348,0.377,Open Ocean,Chemicals,1,0,0
13.16,3.88,4.0,1.76,0.245,0.035,Indian Ocean,Electronics,0,0,0
12.46,12.44,6.0,0.85,0.267,0.072,North Atlantic,General,0,0,0
19.05,1.85,8.0,0.17,0.042,0.244,Arabian Sea,Automotive,0,0,0
